,business_name,address,zipcode,business_type,website,city_name
361,Home Of Chicken And Waffles,"444 Embarcadero West, CA 94607",CA 94607,"Restaurant, Soul Food",https://www.homeofchickenandwaffles.com/,San Francisco
362,Everett and Jones,"126 Broadway, CA 94607",CA 94607,"Restaurant, BBQ",https://eandjbbq.com/,San Francisco
363,Everett And Jones Bbq,"126 Broadway, CA 94607",CA 94607,"Restaurant, Catering, Bbq",https://eandjbbq.com/,San Francisco
364,Souley Vegan,"301 Broadway, CA 94607",CA 94607,"Restaurant, Soul Food, Vegan, Healthy Food",https://souleyvegan.com/,San Francisco
365,Brendan Havenar-Daughton,"2847 Peralta St, CA 94608",CA 94608,"Grocery, Farmers Market",https://www.cityslickerfarms.org/index.php,San Francisco
366,Oeste Bar & Kitchen,"722 Clay St, CA 94607",CA 94607,"Restaurant, Bar, Lounge",https://oesteoakland.com/,San Francisco
367,Oeste,"722 Clay Street, CA 94607",CA 94607,"Restaurant, Bar, Cafe",https://oesteoakland.com/,San Francisco
368,African Caribbean Food Market,"547 8th St, CA 94607",CA 94607,Grocery,https://manmustwak.net/,San Francisco
369,Purple Heart Patient Center,"415 4th St, CA 94607",CA 94607,Cannabis Dispensary,https://www.purpleheartpc.org/,San Francisco
370,Graffiti Pizza,"719 Washington Street, CA 94607",CA 94607,"Restaurant, Fast Food",,San Francisco
371,Yammy's Cafe,"542 9th Street, CA 94607",CA 94607,"Restaurant, Ethnic, African, Ethiopian",https://www.yammysethiopiancafe.com/,San Francisco
372,Super Juiced,"540 9th St, CA 94607",CA 94607,Juice Bar,,San Francisco
373,Super Juiced Oakland,"540 9th Street, CA 94607",CA 94607,"Restaurant, Vegan, Juice Bar, Healthy Food",https://www.oaklandisjuiced.com/,San Francisco
374,Fort Green,"736 Washington Street, CA 94607",CA 94607,"Restaurant, Catering, Bar",https://www.fortgreenoakland.com/,San Francisco
375,NextGen Dentistry,"475 8th St, CA 94607",CA 94607,Healthcare,https://www.oaklandnextgendentistry.com/,San Francisco
376,Oakland African American Museum & Library,"659 14th St, CA 94612",CA 94612,Museum,https://www.oaklandlibrary.org/locations/african-american-museum-library-oakland,San Francisco
377,District Oakland,"827 Washington St, CA 94607",CA 94607,"Bar, Lounge",https://districtoak.com/,San Francisco
378,The Cook And Her Farmer,"510 9th Street, CA 94607",CA 94607,"Restaurant, Seafood, Dining",https://unsplash.com/photos/xxalfz6v9rq,San Francisco
379,Miss Ollie's,"901 Washington Street, CA 94607",CA 94607,"Restaurant, Caribbean, Catering, Ethnic",https://www.realmissolliesoakland.com/,San Francisco
380,Miss Ollie's,"936 Clay St, CA 94607",CA 94607,"Restaurant, Caribbean",https://www.realmissolliesoakland.com/,San Francisco
381,Cupcakin' Bake Shop,"907 Washington Street, CA 94607",CA 94607,"Restaurant, Bakery, Catering",https://cupcakinbakeshop.com/,San Francisco
382,Enspyre33 LLC,"5684 Bay St 458, CA 94608",CA 94608,Sports,https://ballbyyourself.com/,San Francisco
383,Owl N Wood,"471 9th St, CA 94607",CA 94607,"Retail, Apparel",https://owlnwood.com/,San Francisco
384,The Red Door Catering,"2925 Adeline St, CA 94608",CA 94608,Catering,https://www.reddoorcatering.com/,San Francisco
385,The Red Door Catering,"2925 ADELINE STREET, CA 94608",CA 94608,Restaurant,https://www.trdtogo.com/,San Francisco
386,Reddoor Catering,"2925 Adeline Street, CA 94608",CA 94608,"Restaurant, Catering",https://reddoorcatering.com/,San Francisco
387,Uncle Willie's Bbq And Fish,"614 14th Street, CA 94612",CA 94612,"Restaurant, Catering, Seafood, Bbq",https://unclewilliesbbq.com/,San Francisco
388,Uncle Willie's Original BBQ and Fish,"614 14th St, CA 94612",CA 94612,"Restaurant, BBQ",,San Francisco
389,Baines Group Inc.,"562 14th St, CA 94612",CA 94612,"Construction, General Contracting",https://bainesgroup.net/,San Francisco
390,The Dreadlocks Salon,"341 7th St, CA 94607",CA 94607,Salon,https://www.dreadlockssalon.com/,San Francisco
391,A City Obsession Boutique,"500 12th St, CA 94607",CA 94607,"Retail, Apparel",https://www.acityobsessionboutique.com/,San Francisco
392,Minnie Bell's Soul Movement,"5959 Shellmound Street, CA 94608",CA 94608,"Restaurant, Soul Food",https://www.minniebellssoul.com/,San Francisco
393,Flavas Jamaican Grill,"314 Linden Avenue, CA 94080",CA 94080,"Restaurant, Caribbean, Catering",https://flavasjamaicangrillsf.com/,San Francisco
394,Zella's Soulful Kitchen,"499 14th Street, CA 94612",CA 94612,"Restaurant, Soul Food",https://www.zellassoulfulkitchen.com/,San Francisco
395,Lux Pub And Club,"1100 Franklin Street, CA 94607",CA 94607,"Restaurant, Pub, Bar",https://luxislife.com/,San Francisco
396,Slides + Sides,"1100 Franklin Street, CA 94607",CA 94607,"Restaurant, Fast Food",https://www.slidesnsides.com/,San Francisco
397,Chopbar Oakland,"190 4th Street, CA 94607",CA 94607,"Restaurant, Bar, Casual",https://www.oaklandchopbar.com/,San Francisco
398,Glam Sity Beauty Bar,"1919 San Pablo Ave, CA 94612",CA 94612,"Salon, Braiding",,San Francisco
399,Suya,"1312 Broadway, CA 94612",CA 94612,"Restaurant, Caribbean",https://suyaafricangrill.com/,San Francisco
400,Tribune Tavern,"401 13th Street, CA 94612",CA 94612,"Restaurant, Casual",https://tribunetavernoakland.com/,San Francisco
401,Betti Ono Gallery,"1427 Broadway, CA 94612",CA 94612,"Gallery, Event Space",https://bettiono.com/,San Francisco
402,"W.S.B. & Associates, Inc","450 14th St, CA 94612",CA 94612,Security Services,https://www.wsbassociates.net/,San Francisco
403,Stay Gold Delicatessen,"2635 San Pablo Avenue, CA 94612",CA 94612,"Restaurant, Bbq",https://www.staygolddeli.com/,San Francisco
404,Crumble & Whisk,"6270 Overland Avenue, CA 94608",CA 94608,"Restaurant, Vegan, Bakery",https://crumbleandwhisk.com/,San Francisco
405,Paragon Uniforms Inc,"1440 Broadway, CA 94612",CA 94612,Image Making,https://www.paragonuniform.com/,San Francisco
406,Trap Kitchen,"420 14th Street, CA 94612",CA 94612,"Restaurant, Seafood, Fast Casual",https://www.trapkitchenoakland.com/,San Francisco
407,Chef Michele,"1409 Franklin Street, CA 94612",CA 94612,"Restaurant, Catering",https://chefmichele.com/,San Francisco
408,Joyce Gordon Gallery,"404 14th St, CA 94612",CA 94612,Gallery,https://www.joycegordongallery.com/,San Francisco
409,Oakland Ink,"404 14th St, CA 94612",CA 94612,Tattoo Parlor,https://www.oaklandink.com/,San Francisco
410,Benny Adem Grooming Parlor,"404 14th St, CA 94612",CA 94612,Barber Shop,https://bennyadem.com/#,San Francisco
411,Moods Beauty Bar,"404 14th St, CA 94612",CA 94612,Salon,,San Francisco
412,Green for All,"1611 Telegraph Ave, CA 94612",CA 94612,Non Profit,https://www.greenforall.org/,San Francisco
413,Square Peg Design,"1631 Telegraph Ave, CA 94612",CA 94612,Graphic Design,https://www.sqpeg.com/,San Francisco
414,Catered To You,"1711 Telegraph Avenue, CA 94612",CA 94612,"Restaurant, Catering, Seafood, Fast Casual",https://cateredtoyou.net/,San Francisco
415,Feelmore Adult Gallery,"1703 Telegraph Ave, CA 94612",CA 94612,"Retail, Adult Entertainment",https://feelmore510.com/,San Francisco
416,Suru Clothing,"1624 Telegraph Ave, CA 94612",CA 94612,"Retail, Apparel",https://www.suruclothing.com/,San Francisco
417,The Hatch,"402 15th Street, CA 94612",CA 94612,"Restaurant, Bar",https://www.thehatchoak.com/,San Francisco
418,The Hatch Oakland,"402 15th St, CA 94612",CA 94612,"Bar, Lounge",https://www.thehatchoak.com/,San Francisco
419,Yahshi Bakes,"1721 Broadway, CA 94612",CA 94612,"Restaurant, Bakery",https://www.yahshibakes.com/,San Francisco
420,Oakstop,"1716 Telegraph Ave, CA 94612",CA 94612,Co-Working Space,https://oakstop.com/,San Francisco
421,25SecondsPR,"1716 Telegraph Ave, CA 94612",CA 94612,Marketing & PR,https://www.25secondspr.com/,San Francisco
422,Magnolia Street Wine Lounge + Kitchen,"3443 San Pablo Avenue, CA 94608",CA 94608,"Restaurant, Bar, Casual",https://www.chefleilani.com/,San Francisco
423,Ivy Moon Restaurant,"3112 Market St, CA 94608",CA 94608,"Restaurant, Soul Food",https://www.ivymoonrestaurant.com/,San Francisco
424,New Karibbean City,"340 14th St, CA 94612",CA 94612,"Restaurant, Caribbean",https://www.nkcoakland.com/,San Francisco
425,Designing Justice + Designing Spaces,"351 15th St, CA 94612",CA 94612,"Non Profit, Architecture",https://designingjustice.org/,San Francisco
426,Rob Ben’s Restaurant & Lounge,"3627 San Pablo Avenue, CA 94608",CA 94608,"Restaurant, Soul Food, Catering, Bar",https://robbensrestaurant.com/,San Francisco
427,The Miranda,"1739 Broadway, CA 94612",CA 94612,"Restaurant, Bar, Lounge",https://www.themirandaoakland.com/,San Francisco
428,Jusla Eats,"1900 Telegraph Avenue, CA 94612",CA 94612,"Restaurant, Soul Food, Catering, Seafood",https://www.cheflalaharrison.com/,San Francisco
429,Little Giant Ice Cream,"1951 Telegraph Avenue, CA 94612",CA 94612,"Restaurant, Fast Food, Family Style Restaurant",https://www.littlegianticecream.com/,San Francisco
430,Halftime Sports Bar,"316 14th Street, CA 94612",CA 94612,"Restaurant, Bar",https://halftimesportbar.letseat.at/,San Francisco
431,The Payback,"1618 Franklin St, CA 94612",CA 94612,"Bar, Lounge",https://thepayback510.com/,San Francisco
432,The Alice Collective,"274 14th St, CA 94612",CA 94612,"Restaurant, Event Space",https://thealicecollective.com/cafe,San Francisco
433,Lane-e Kefa Coffee,"77 8th Street, CA 94607",CA 94607,"Restaurant, Coffee Shop, Cafe",https://www.lane-e-kefa-coffee.cafes-city.com/,San Francisco
434,Happy Burrito,"1616 Webster Street, CA 94612",CA 94612,"Fast Casual, Restaurant",,San Francisco
435,Rush Bowls Oakland,"350 17th Street, CA 94612",CA 94612,"Restaurant, Vegan, Healthy Food",https://rushbowls.com/oakland,San Francisco
436,The Hair Gym,"329 17th St, CA 94612",CA 94612,"Salon, Barber Shop",https://hairgymacademysalon.com/,San Francisco
437,Drexl,"382 19th Street, CA 94612",CA 94612,"Restaurant, Bar",https://www.drexl.bar/,San Francisco
438,Zanai's Love of Hair,"318 17th St, CA 94612",CA 94612,"Salon, Braiding",https://www.loveofhair.com/,San Francisco
439,Nailphoria Day Spa,"320 17th St, CA 94612",CA 94612,"Nail Salon, Spa",https://www.nailphoria.com/,San Francisco
440,B & C Transit Consultants,"1924 Franklin St, CA 94612",CA 94612,Consulting,https://bnctransit.com/,San Francisco
441,Bleu Champu Salon,"310 17th St, CA 94612",CA 94612,Salon,https://www.bleuchampu.com/,San Francisco
442,Touch Of Soul,"4336 San Pablo Avenue, CA 94608",CA 94608,"Restaurant, Soul Food, Seafood",https://touch-of-soul.business.site/,San Francisco
443,Kingston 11,"2270 Telegraph Avenue, CA 94612",CA 94612,"Restaurant, Caribbean",https://kingston11eats.com/,San Francisco
444,Ashara Ekundayo Gallery,"480 23rd St, CA 94612",CA 94612,Gallery,https://www.asharaekundayogallery.com/,San Francisco
445,Blue Nile Ethiopian Restaurant,"160 14th Street, CA 94612",CA 94612,"Restaurant, African, Ethiopian",https://www.bluenilefood.com/,San Francisco
446,Strategy Squad,"1901 Harrison St, CA 94612",CA 94612,Financial Services,https://strategysquad.com/,San Francisco
447,Abyssinia Market,"2525 Telegraph Ave, CA 94612",CA 94612,Grocery,,San Francisco
448,McMullen,"2257 Broadway, CA 94612",CA 94612,"Retail, Apparel",https://shopmcmullen.com/,San Francisco
449,Suya,"408 22nd St, CA 94612",CA 94612,"Restaurant, Caribbean",https://suyaafricangrill.com/,San Francisco
450,Brown Sugar Kitchen,"2295 Broadway, CA 94612",CA 94612,"Restaurant, Soul Food, Seafood",https://www.brownsugarkitchen.com/,San Francisco
451,Era Art Bar & Lounge,"19 Grand Ave, CA 94612",CA 94612,"Bar, Lounge",https://www.oaklandera.com/era/,San Francisco
452,Chef Ron’s Pastries,"344 Thomas L Berkley Way, CA 94612",CA 94612,Bakery,https://www.crpastries.com/,San Francisco
453,Anfilo Coffee,"33 Grand Ave, CA 94612",CA 94612,Coffee Shop,https://anfilo.com/,San Francisco
454,Mela Bistro,"35 Grand Avenue, CA 94612",CA 94612,"Restaurant, Catering, Ethiopian",https://www.melabistro.com/,San Francisco
455,Black Girls Code ~ Corporate Office,"2323 Broadway, CA 94612",CA 94612,Non Profit,https://www.blackgirlscode.com/,San Francisco
456,Impact Hub Oakland,"2323 Broadway, CA 94612",CA 94612,Co-Working Space,https://oakland.impacthub.net/,San Francisco
457,YogaLove,"3851 Market St, CA 94608",CA 94608,"Gym, Yoga Studio",https://yogaloveoakland.com/,San Francisco
458,Red Bay Coffee,"2327 Broadway, CA 94612",CA 94612,Coffee Shop,https://www.redbaycoffee.com/,San Francisco
459,Red Bay Coffee Box,"2327 Broadway, CA 94612",CA 94612,"Restaurant, Coffee Shop, Cafe",https://www.redbaycoffee.com/,San Francisco
460,Gourmet Puff,"478 25th Street, CA 94612",CA 94612,"Bakery, Nigerian, Restaurant, Vegan, African",https://gourmetpuff.co/,San Francisco
461,Elve’s BBQ & Soul Food,"3214 Martin Luther King Jr Way, CA 94609",CA 94609,"Restaurant, BBQ",,San Francisco
462,Calavera,"2337 Broadway, CA 94612",CA 94612,"Restaurant, Ethnic",https://calaveraoakland.com/,San Francisco
463,Lula Restaurant,"2805 Telegraph Ave, CA 94609",CA 94609,"Restaurant, Ethiopian",https://www.lulaoakland.com/,San Francisco
464,Sankofa African Arts & Jewelry,"2805 Telegraph Ave, CA 94609",CA 94609,"Salon, Apparel",,San Francisco
465,Alamar Kitchen & Bar,"100 Grand Avenue, CA 94612",CA 94612,"Restaurant, Catering, Seafood, Dining",https://www.alamaroakland.com/,San Francisco
466,AU Lounge,"2430 Broadway, CA 94612",CA 94612,"Restaurant, Bar, Lounge",https://www.auoakland.com/,San Francisco
467,Chef Smelly's,"2430 Broadway, CA 94612",CA 94612,"Restaurant, Soul Food, Seafood, Fast Casual",,San Francisco
468,Gregory's Gourmet Desserts,"285 23rd Street, CA 94612",CA 94612,"Restaurant, Bakery, Catering",https://www.gregorysgourmetdesserts.com/,San Francisco
469,James & The Giant Cupcake,"6326 San Pablo Avenue, CA 94608",CA 94608,"Restaurant, Bakery",https://www.jamesandthegiantcupcake.com/,San Francisco
470,Oakland Smiles,"3147 Telegraph Ave, CA 94609",CA 94609,Dental,https://oaklandsmiles.com/,San Francisco
471,Hella Nuts,"3645 Martin Luther King Junior Way, CA 94609",CA 94609,"Grocery, Retail",https://thatshellanuts.com/,San Francisco
472,Breathe Day Spa & Boutique,"4408 Market St, CA 94608",CA 94608,Spa,https://www.breathespaoakland.com/,San Francisco
473,Cali Alley,"1012 Grayson Street, CA 94710",CA 94710,"Restaurant, Dining, Fast Casual",https://calialley.com/,San Francisco
474,Cafe Dejena,"3939 Martin Luther King Junior Way, CA 94609",CA 94609,"Restaurant, Eritrean, Catering, African",https://www.cafedejena.com/,San Francisco
475,Marcus Books,"3900 Martin Luther King Jr Way, CA 94609",CA 94609,"Retail, Book Store",https://marcusbooksoakland.com/,San Francisco
476,Fouché's Hudson Funeral Home,"3665 Telegraph Ave, CA 94609",CA 94609,Funeral Home,https://www.fouchesfuneralhome.com/,San Francisco
477,Pietisserie,"1605 2nd Ave, CA 94606",CA 94606,Bakery,https://www.pietisserie.com/,San Francisco
478,BlinkLAB Architecture,"4232 Martin Luther King Jr Way, CA 94609",CA 94609,Architecture,https://www.blink-lab.com/,San Francisco
479,Enssaro,"357 Grand Ave, CA 94610",CA 94610,"Restaurant, Ethiopian",https://www.enssaro.com/,San Francisco
480,Enssaro,"357A Grand Avenue, CA 94610",CA 94610,"Restaurant, African, Ethiopian",https://www.enssaro.com/,San Francisco
481,Anthony's Cookies,"2575 San Pablo Avenue, CA 94702",CA 94702,"Restaurant, Bakery",https://www.anthonyscookies.com/,San Francisco
482,Cafe Eritrea D'afrique,"4069 Telegraph Avenue, CA 94609",CA 94609,"Restaurant, Eritrean, Catering, African",https://cafeeritreadafrique.com/,San Francisco
483,Grandeur,"366B Grand Avenue, CA 94610",CA 94610,"Restaurant, Vegan, Healthy Food",https://www.grandeuroakland.com/,San Francisco
484,Cafe Eritrea D'Afrique,"4073 Telegraph Ave, CA 94609",CA 94609,"Restaurant, Eritrean",https://cafeeritreadafrique.com/,San Francisco
485,Oakland's Very Own Tavern,"5319 Martin Luther King Junior Way, CA 94608",CA 94608,"Casual, Restaurant",https://ovotavern.com/,San Francisco
486,Nappy or Not Inc,"411 E 18th St, CA 94606",CA 94606,Salon,https://www.nappyornot.com/#/top,San Francisco
487,Essence Beauty Supply,"411 E 18th St, CA 94606",CA 94606,Beauty Supply Store,,San Francisco
488,Smokin Woods Bbq,"4307 Telegraph Avenue, CA 94609",CA 94609,"Restaurant, Catering, Bbq",https://www.smokinwoodsbbq.com/,San Francisco
489,It's All Good Bakery Inc,"5622 Martin Luther King Jr Way, CA 94609",CA 94609,Bakery,https://www.itsallgoodbakery.com/menu.php,San Francisco
490,It's All Good Bakery,"5622 Martin Luther King Junior Way, CA 94609",CA 94609,"Restaurant, Bakery",https://www.itsallgoodbakery.com/home.php,San Francisco
491,Station Thirty Three,"440 Grand Ave, CA 94610",CA 94610,Barber Shop,,San Francisco
492,Phat Beets Saturday Farmers Market Feel the Beet Farmers Market,"4799 Shattuck Ave, CA 94609",CA 94609,"Grocery, Farmers Market",https://www.phatbeetsproduce.org/,San Francisco
493,Universal Beauty Supply and Salon,"4797 Telegraph Ave, CA 94609",CA 94609,"Beauty Supply Store, Salon",,San Francisco
494,Concept Forty Seven Oakland,"4725 Telegraph Ave, CA 94609",CA 94609,"Retail, Furniture & Home Decor",https://beijaflornaturals.com/contact/,San Francisco
495,Stay Gold Delicatessen,"4935 Shattuck Avenue, CA 94609",CA 94609,"Restaurant, Bbq",https://www.staygolddeli.com/,San Francisco
496,Abesha Ethiopian Cuisine,"4929 Shattuck Ave, CA 94609",CA 94609,"Restaurant, Ethiopian",,San Francisco
497,Alchemy Collective Cafe,"1741 Alcatraz Avenue, CA 94703",CA 94703,"Restaurant, Coffee Shop",https://www.alchemycollectivecafe.com/,San Francisco
498,The Braid Bar,"3300 Adeline St, CA 94703",CA 94703,"Salon, Braiding",https://www.braidbaroakland.com/,San Francisco
499,Nuttin' Butter Cookies,"1371 Dwight Way, CA 94702",CA 94702,"Restaurant, Bakery",https://www.nuttinbuttercookies.com/,San Francisco
500,Asmara Restaurant,"5020 Telegraph Avenue, CA 94609",CA 94609,"Restaurant, Eritrean, Catering, Ethnic",https://asmararestaurant.com/,San Francisco
501,Teni East Kitchen,"4015 Broadway, CA 94611",CA 94611,"Restaurant, Ethnic",https://www.tenieastkitchen.com/,San Francisco
502,Pietisserie,"1225 Fourth Street, CA 94710",CA 94710,"Restaurant, Bakery",https://www.pietisserie.com/,San Francisco
503,Lemat,"3212 Adeline Street, CA 94703",CA 94703,"Restaurant, Ethnic, African, Ethiopian",https://www.lemateats.com/,San Francisco
504,Malibu's Burgers,"3905 Piedmont Avenue, CA 94611",CA 94611,"Restaurant, Vegan, Healthy Food, Fast Food",https://www.malibusburgers.com/,San Francisco
505,Rasa Caffe,"3140 Martin Luther King Junior Way, CA 94703",CA 94703,"Restaurant, Coffee Shop",https://www.rasacaffe.com/,San Francisco
506,Minto Jamaican Market,"4042 Broadway, CA 94611",CA 94611,"Caribbean, Market, Grocery",https://mintojamaicanmarket.com/,San Francisco
507,Johnathan's Sandwich House,"2316 Santa Clara Avenue, CA 94501",CA 94501,"Restaurant, Catering, Fast Food",https://www.johnathanssandwichalameda.com/,San Francisco
508,Red Sea,"5200 Claremont Avenue, CA 94618",CA 94618,"Eritrean, Ethiopian, Ethnic, Restaurant, African",https://redseaoakland.com/,San Francisco
509,Red Sea Diner,"5200 Claremont Ave, CA 94618",CA 94618,"Restaurant, Eritrean, Ethiopian",,San Francisco
510,Face and Body Day Spa,"450 Santa Clara Ave, CA 94610",CA 94610,"Salon, Spa",https://www.fabdayspa.com/,San Francisco
511,Cafe Romanat,"462 Santa Clara Avenue, CA 94610",CA 94610,"Restaurant, Ethnic, Catering, Ethiopian",https://www.caferomanat.com/,San Francisco
512,ANI Private Security & Patrol,"4124 Broadway, CA 94611",CA 94611,Security Services,https://www.anisecurity.net/,San Francisco
513,Alyce on Grand,"3223 Grand Ave, CA 94610",CA 94610,"Retail, Apparel",https://www.oaklandgrown.org/alyce-on-grand/,San Francisco
514,Shroder's Playmates,"484 Lake Park Ave, CA 94610",CA 94610,Other,https://www.shrodersplaymates.com/,San Francisco
515,Vegan Mob,"500 Lake Park Avenue, CA 94610",CA 94610,"Restaurant, Soul Food, Bbq",https://veganmob.biz/,San Francisco
516,Caña,"530 Lake Park Avenue, CA 94610",CA 94610,"Catering, Caribbean, Ethnic, Bar, Restaurant",https://canaoakland.com/,San Francisco
517,Alkali Rye - Oakland's Beverage Shop,"3256 Grand Ave, CA 94610",CA 94610,Retail,https://www.sipalkalirye.com/,San Francisco
518,Cold Cocked Beverages LLC,"2020 Dennison St, CA 94606",CA 94606,"Delivery Food Supplier, Trucking",https://www.manta.com/c/mhhzpmz/cold-cocked-beverages-llc,San Francisco
519,Taylor Jay,"3304 Grand Ave, CA 94610",CA 94610,"Retail, Apparel",https://www.taylorjaycollection.com/,San Francisco
520,Center Stage West,"3227 Lakeshore Ave, CA 94610",CA 94610,Salon,https://www.centerstagewest.com/,San Francisco
521,Oxford Way Tailoring,"6221 Shattuck Ave, CA 94609",CA 94609,Tailor,https://www.oxfordwaytailoring.com/,San Francisco
522,"The Skin Studio, Inc.","4125 Piedmont Ave, CA 94611",CA 94611,"Spa, Facial, Wax",https://theskinstudio.com/,San Francisco
523,Mannequin Madness,"1031 Cotton St, CA 94606",CA 94606,Retail,https://www.mannequinmadness.com/,San Francisco
524,Yahshi Bakes,"4168 Piedmont Ave, CA 94611",CA 94611,Bakery,https://www.yahshibakes.com/,San Francisco
525,Souly Body,"4168 Piedmont Ave, CA 94611",CA 94611,Spa,https://www.soulybody.com/,San Francisco
526,Cuts N Stuff Hair Designs,"4352 Broadway, CA 94611",CA 94611,Salon,https://www.cnshairdesigns.com/,San Francisco
527,Flip N Soul,"2101 14th Avenue, CA 94606",CA 94606,"Restaurant, Soul Food, Seafood",https://www.flipnsoul.com/,San Francisco
528,Plant Based Fitness,"2706 Park Blvd, CA 94606",CA 94606,Gym,https://www.plantbfitness.com/,San Francisco
529,Shirley's Designs & Alterations,"3405 Lakeshore Ave, CA 94610",CA 94610,Tailor,https://www.shirleysdesignsoakland.com/,San Francisco
530,Uhuru Furniture & Collectibles,"3738 Grand Ave, CA 94610",CA 94610,"Retail, Furniture & Home Decor",https://uhurufurniture.blogspot.com/,San Francisco
531,Kc's Bbq,"1235 San Pablo Avenue, CA 94706",CA 94706,"Restaurant, Catering, Bbq",https://kcsbbq.com/,San Francisco
532,Bijou Health,"1440 W Taylor St, IL 60607",IL 60607,Healthcare,https://www.bijouhealth.com/,Chicago
533,Amber Inn Hotel,"3901 S. Michigan Avenue, IL 60653",IL 60653,Hotel,,Chicago
534,Sweet Polly's Kitchen,"135 North Kedzie Avenue, IL 60612",IL 60612,"Restaurant, Soul Food, Catering",https://www.sweetpollykitchen.com/,Chicago
535,Liberty Bank and Trust,"1111 S. Homan Ave, IL 60624",IL 60624,Bank,https://www.libertybank.net/,Chicago
536,What U Need Is...,"Worldwide , IL 60647",IL 60647,Marketing & Pr,https://www.whatuneedis.com/,Chicago
537,SheSlayed,"Online, IL 60651",IL 60651,Retail,https://www.sheslayedlingerie.com/,Chicago
538,The Licking,"5045 West Madison Street, IL 60644",IL 60644,"Restaurant, Soul Food, Seafood",https://www.thelicking.com/,Chicago
539,"Lawn Care Maven, LLC","503 E 61st Street 118, IL 60637",IL 60637,Home,https://www.lawncaremaven.com/,Chicago
540,Ebony Analytics,"6144 S St Lawrence Ave, IL 60637",IL 60637,Technology,https://www.ebonyanalytics.com/,Chicago
541,Rhythm of the Street Dance Studio,"4301 N Kedzie Ave, IL 60618",IL 60618,Education,https://www.rhythmofthestreet.org/,Chicago
542,Holiday Inn Express & Suites Chicago Midway Airport,"6500 South Cicero Ave, IL 60638",IL 60638,Hotel,https://www.ihg.com/holidayinnexpress/hotels/us/en/chicago/chimw/hoteldetail?rpb=hotel&crUrl=/h/d/hi/1/en/availsearch&ias=y,Chicago
543,Hampton Inn Chicago-Midway Airport,"6540 S. Cicero Ave., IL 60638",IL 60638,Hotel,https://hamptoninn3.hilton.com/en/hotels/illinois/hampton-inn-chicago-midway-airport-CHIMWHX/index.html,Chicago
544,Marriott Chicago Midway,"6520 South Cicero Ave, IL 60638",IL 60638,Hotel,https://www.marriott.com/hotels/travel/chima-chicago-marriott-midway/,Chicago
545,Courtyard Chicago Midway Airport,"6610 South Cicero Avenue, IL 60638",IL 60638,Hotel,https://www.marriott.com/hotels/travel/chicm-courtyard-chicago-midway-airport/,Chicago
546,Hilton Garden Inn Chicago/Midway Airport,"6530 S. Cicero Avenue, IL 60638",IL 60638,Hotel,https://hiltongardeninn3.hilton.com/en/hotels/illinois/hilton-garden-inn-chicago-midway-airport-MDWAHGI/index.html,Chicago
547,Sleep Inn Midway Airport,"6650 S. Cicero Ave., IL 60638",IL 60638,Hotel,https://www.choicehotels.com/illinois/bedford-park/sleep-inn-hotels/il103?exp&nadult=1&nchild=0&sarea=85544&schain=Z&scity&scountry=US&sid=lMPki.4jt20,Chicago
